"Name","Runtime","win_rate","agent_wins","pete_wins","max_depth","moves_weight","alignment_weight","trap_weight"
"dazzling-sweep-70","457","0.96","96","4","5","12.970134517216978","9.122756536802102","15.79858192022076"
"jumping-sweep-29","114","0.96","96","4","4","9.95934333181768","18.59880565589105","12.438573855053432"
"misty-sweep-31","484","0.96","96","4","5","14.45511305928169","14.179376965620223","10.495603904178418"
"magic-sweep-48","103","0.96","96","4","4","8.820770466673963","9.716561878478782","28.66150409072612"
"treasured-sweep-44","40","0.96","96","4","3","8.06661393467051","5.043232946382749","29.465302098447236"
"vocal-sweep-80","460","0.96","96","4","5","11.027230049338556","7.82065202653908","18.192090681505498"
"resilient-sweep-36","526","0.96","96","4","5","11.656808470889269","11.3548848518423","22.084636130056303"
"amber-sweep-4","434","0.96","96","4","5","8.589409108149631","10.881894983958592","13.059416580774988"
"swept-sweep-51","103","0.96","96","4","4","11.784613206145831","12.547514414237927","19.58389274609027"
"rural-sweep-85","511","0.95","95","5","5","9.702630355944615","5.827983073632116","17.089385521774787"
"comfy-sweep-66","439","0.95","95","5","5","8.971818523061291","6.249595478340226","22.995731394734623"
"vital-sweep-30","119","0.95","95","5","4","11.62755546773579","19.243256863765744","10.228401578185183"
"smart-sweep-74","448","0.95","95","5","5","10.980651315533","9.94349863658196","16.455493075606892"
"misunderstood-sweep-50","108","0.95","95","5","4","5.611233676721109","17.144836181527584","25.56914188888846"
"morning-sweep-78","454","0.95","95","5","5","14.868396479628354","18.829592594180543","24.95862219543909"
"mild-sweep-5","37","0.95","95","5","3","10.009616907730589","16.692202810014575","21.337197794752743"
"eternal-sweep-3","39","0.94","94","6","3","8.159652618968376","15.321723244751654","21.052735186081755"
"lucky-sweep-65","426","0.94","94","6","5","10.451234706836823","5.528179026135764","26.595731548113076"
"fallen-sweep-56","107","0.94","94","6","4","9.401653755918868","11.944977141332815","29.61966966643067"
"floral-sweep-45","104","0.94","94","6","4","13.977179284767518","7.907747469047705","26.03421917048508"
"deft-sweep-43","496","0.94","94","6","5","11.30585196931682","9.065756211623382","20.075142706543097"
"still-sweep-34","125","0.94","94","6","4","14.078421888087409","18.80860233921413","10.287183050692168"
"pious-sweep-32","115","0.94","94","6","4","7.974743731753414","17.334642015271122","10.19982115272584"
"wild-sweep-100","429","0.94","94","6","5","12.738006539205127","6.482974649628797","17.1980945347892"
"dauntless-sweep-55","124","0.93","93","7","4","14.91629672076648","13.141340900089457","22.952837572450967"
"peachy-sweep-11","454","0.93","93","7","5","9.907004964125566","15.95453205272334","19.65878881188728"
"fresh-sweep-79","49","0.92","92","8","3","8.10230295395588","18.833493056260792","10.386579634246406"
"resilient-sweep-4","30","0.9","90","10","2","8.211061728262763","7.947375596103781","24.381990993292447"
"hopeful-sweep-22","35","0.87","87","13","2","5.02603647936516","7.563267029648422","10.182685409662604"
"bumbling-sweep-49","27","0.84","84","16","2","11.732752964632786","17.36443044224246","22.147366641425847"
"honest-sweep-3","27","0.82","82","18","2","11.678528223601496","17.426145198848136","25.027446579157207"
"polar-sweep-95","26","0.73","73","27","2","12.632066154526036","19.86369881843633","14.828723872254471"
"confused-sweep-57","21","0.65","65","35","2","13.0025561736103","18.447588807725342","22.071768963737167"
"silver-sweep-101","17","","","","5","8.393182852440919","8.31965260053813","16.935940673114644"
