"Name","Runtime","win_rate","agent_wins","pete_wins","max_depth","moves_weight","alignment_weight","trap_weight"
"earthy-sweep-97","31","0.91","91","9","3","6.718736729103006","8.279184389191116","11.00535042315056"
"volcanic-sweep-75","45","0.91","91","9","4","7.148260245964454","14.049879075373928","10.861007784938131"
"radiant-sweep-95","49","0.91","91","9","4","6.90120616938624","8.781944596101452","10.633501046477516"
"youthful-sweep-24","28","0.91","91","9","3","7.3159365540591565","8.27994432188721","27.427135266670668"
"wise-sweep-21","40","0.91","91","9","4","12.613105337050232","9.816267425229846","10.7925240218341"
"colorful-sweep-53","41","0.91","91","9","4","14.00107626479393","16.78431962000012","25.01156890624899"
"honest-sweep-87","83","0.91","91","9","5","5.058480543196505","13.805772328998072","28.46461744460448"
"revived-sweep-12","31","0.91","91","9","3","7.672732682616647","8.328713747854048","10.351407926318808"
"robust-sweep-66","34","0.91","91","9","3","9.8608160393761","6.3386407974867875","18.74920140701345"
"bright-sweep-65","29","0.91","91","9","3","8.165920570699143","14.519230996821076","19.586668411565427"
"lemon-sweep-76","37","0.9","90","10","3","11.7079960838402","15.82835651569426","26.78779826759161"
"exalted-sweep-80","73","0.9","90","10","5","13.965317804424416","7.0095903153529235","20.50913073739882"
"leafy-sweep-92","43","0.9","90","10","4","7.708883938925744","6.6201196871658485","29.600738330088625"
"dutiful-sweep-110","50","0.9","90","10","4","5.668007902899342","11.58763168641782","12.92740544319134"
"peach-sweep-73","72","0.9","90","10","5","7.459178548945539","10.105332221678813","26.08528913470838"
"avid-sweep-71","65","0.9","90","10","5","11.647211887257605","18.11831001144173","15.35528793371448"
"prime-sweep-25","29","0.9","90","10","2","5.708887595557761","9.160960766864756","20.946768386793764"
"dauntless-sweep-22","26","0.9","90","10","2","9.87975947853838","12.41551092472799","17.372478486556243"
"true-sweep-20","31","0.9","90","10","3","9.142505116050136","10.34352426706394","18.89562899469799"
"snowy-sweep-70","41","0.9","90","10","4","7.745489941278664","16.27001805351209","19.951337401967"
"zesty-sweep-114","48","0.9","90","10","4","9.063741171448353","18.438663674279507","24.52270122482403"
"faithful-sweep-59","67","0.9","90","10","5","7.059072755010215","8.561614984403043","21.862045976730876"
"glad-sweep-83","35","0.9","90","10","3","6.679420860306063","7.705631778869043","26.403599425355488"
"genial-sweep-17","48","0.9","90","10","4","7.4668615959528895","14.716921207325854","13.11212081856379"
"ancient-sweep-16","31","0.9","90","10","3","7.760931326488309","18.8384435023527","27.435938169488963"
"hopeful-sweep-63","36","0.89","89","11","3","11.268480938845324","10.772162623303847","17.9209459483345"
"youthful-sweep-61","31","0.89","89","11","3","13.570864010954509","16.96669114842535","18.01466618018848"
"silvery-sweep-111","46","0.89","89","11","4","10.272084621931354","18.445252631965992","29.74362842890063"
