"Name","State","Runtime","Sweep","action_bins","alpha","epsilon","gamma","x_bins","vel_bins","test_value","train_value"
"warm-sweep-65","finished","55","ls3l5ov5","52","0.9034084422729768","0.6799678716729389","0.8252363449655931","24","13","-73.2","-52.776"
"lucky-sweep-31","finished","50","ls3l5ov5","44","0.7366614816376917","0.5312251359542236","0.9697592942894468","34","11","-73.72","-70.978"
"visionary-sweep-20","finished","48","ls3l5ov5","56","0.725668507407875","0.5949291757138366","0.9580476195203618","67","22","-78","-110.406"
"dainty-sweep-19","finished","52","ls3l5ov5","42","0.782834831749301","0.7992382577796011","0.9226586066742196","40","13","-79.08","-85.042"
"divine-sweep-6","finished","31","ls3l5ov5","16","0.8288665600437111","0.6573684311219725","0.7964402570143267","88","50","-84.4","-87.644"
"fearless-sweep-85","finished","49","ls3l5ov5","41","0.7269349035088266","0.5908522709333185","0.6943616981647858","10","31","-84.9","-79.282"
"iconic-sweep-54","finished","54","ls3l5ov5","38","0.5175826487800347","0.7403363459988361","0.9827988763327784","10","40","-89.5","-93.802"
"olive-sweep-49","finished","47","ls3l5ov5","10","0.6544761616715717","0.9206132553787388","0.9870051336525052","99","85","-91.46","-87.298"
"vivid-sweep-57","finished","51","ls3l5ov5","27","0.88232722009068","0.9141348617362812","0.95761514440414","37","28","-92.06","-57.882"
"dandy-sweep-26","finished","54","ls3l5ov5","34","0.7708713517585446","0.5452740264878154","0.8995078576826032","10","53","-101.34","-97.306"
"misty-sweep-12","finished","54","ls3l5ov5","96","0.98945196768747","0.7349375343622001","0.8697309344158932","37","26","-103.26","-200.336"
"rosy-sweep-96","finished","46","ls3l5ov5","13","0.6697332020997665","0.7511473076679014","0.9759934088178044","11","19","-105.04","-53.568"
"ruby-sweep-15","finished","58","ls3l5ov5","93","0.9107449283649732","0.5929351734134735","0.9153862908723036","12","12","-108.26","-28.452"
"youthful-sweep-5","finished","52","ls3l5ov5","57","0.5950720487768987","0.9601120274974948","0.9881231993686964","78","49","-108.64","-108.514"
