"Name","Runtime","alpha","action_bins","gamma","vel_bins","x_bins","test_value","train_value","epsilon"
"different-totem-583","74","0.9852312495429156","23","0.6118763874266767","27","98","-300.76","-1.176","0.3421507422798944"
"atomic-sweep-88","75","0.98589145244359","27","0.7662595809602959","38","64","-302.68","-4.404","0.27400375944803645"
"cerulean-sweep-59","84","0.9257224774635868","27","0.7634349345517435","61","71","-302.98","-38.686","0.10823270041053688"
"olive-sweep-63","83","0.8546892201748173","25","0.6280514029233557","26","79","-307.28","-37.972","0.2595278964367916"
"comic-sweep-80","63","0.9879919824957568","20","0.7235691816669276","46","39","-312.34","-2.686","0.17021348328365377"
"dark-sweep-45","74","0.63331215615757","25","0.7557620526409652","39","52","-312.66","-23.648","0.14885899037322972"
"lively-sweep-98","101","0.9437996520742048","21","0.7565096009199133","96","35","-321.6","-73.746","0.694778371671365"
"tough-sweep-13","92","0.5640263864416667","22","0.612615353883662","65","51","-335.88","-94.212","0.4885818901352794"
"likely-sweep-48","110","0.7772290356820079","22","0.598826824325674","18","49","-340.78","-26.948","0.43506648590570607"
"prime-sweep-66","76","0.9239733100132664","24","0.5840491860883744","34","82","-340.9","-14.16","0.24155078456572837"
"treasured-sweep-41","88","0.6499418122404514","28","0.7781468547978617","36","75","-342.32","-47.918","0.12463949145583976"
"serene-sweep-79","72","0.9424449063197003","23","0.8708676513846711","62","59","-342.64","-13.016","0.1849293172428916"
"scarlet-sweep-28","86","0.7105575588850305","27","0.649504979841347","28","80","-342.94","-64.858","0.13144351550165503"
"sage-sweep-54","73","0.6281621260957266","20","0.7759442351927364","58","71","-357.74","-35.744","0.2131884523473575"
"flowing-sweep-91","81","0.988723446997306","27","0.6893401110833018","81","31","-358.3","-13.592","0.33735289911748617"
"astral-sweep-49","97","0.6717135882514333","26","0.6131309011295213","20","59","-364.34","-27.362","0.4363061910208321"
"whole-sweep-73","94","0.8729189598744268","21","0.685963461278088","70","97","-364.84","-127.414","0.5971217542822369"
"ruby-sweep-43","62","0.7694541723655108","20","0.7212324099728049","57","54","-365.26","-7.936","0.10396768785162484"
"happy-sweep-51","90","0.7569781453698743","28","0.6166130538165109","35","64","-365.9","-64.334","0.37983886169139713"
"lyric-sweep-40","82","0.630080495468364","25","0.5586005220764443","33","51","-370.32","-37.446","0.3446728523639944"
"generous-sweep-55","92","0.8796791055410734","29","0.5995371330019161","46","72","-371.22","-74.844","0.12837526796566376"
"swift-sweep-52","78","0.9506568449867644","21","0.5841976298554536","19","54","-374.32","-39.08","0.16298146842460684"
"true-sweep-77","66","0.8557192610541047","20","0.6421858786303195","33","72","-376.72","-5.802","0.3777799539950304"
"dulcet-sweep-9","106","0.5607994007717783","25","0.7018632340611032","89","42","-376.74","-108.968","0.3994566775728017"
"bumbling-sweep-76","89","0.9675207678662524","23","0.7616652821449676","87","89","-381.28","-111.374","0.5142327957907499"
"silvery-sweep-71","96","0.9843862689348062","27","0.6140397370079576","53","82","-382.4","-94.646","0.7153034713066594"
"effortless-sweep-46","79","0.7297184718074943","28","0.6017202840541527","22","60","-383.98","-20.268","0.13930534583348697"
"solar-sweep-65","116","0.9563640196766752","25","0.6100720483945419","19","92","-385.06","-39.284","0.5168572540670725"
"logical-sweep-61","85","0.958795050621398","21","0.6043801785902658","87","76","-385.48","-122.528","0.29904222885708653"
"icy-sweep-67","91","0.9893779373396484","31","0.649058922754693","23","89","-399.44","-46.914","0.23801646950899205"
