"Name","State","Runtime","Sweep","action_bins","alpha","epsilon","gamma","vel_bins","x_bins","test_value","train_value"
"super-sweep-58","finished","65","l6wrf4n4","43","0.5100493074616164","0.7280603139877235","0.8961270107003662","24","16","-14.6","-12.95"
"faithful-sweep-50","finished","69","l6wrf4n4","26","0.7391548942724816","0.771442284794042","0.7962591982558006","19","20","-15.18","-16.95"
"graceful-sweep-49","finished","71","l6wrf4n4","19","0.7041778478850464","0.7849866815044633","0.92258180130461","19","20","-15.44","-13.674"
"pleasant-sweep-71","finished","71","l6wrf4n4","66","0.9465271243214584","0.6325845847797387","0.8885042692866989","12","18","-16.38","-17.538"
"gallant-sweep-87","finished","61","l6wrf4n4","11","0.8659874895943633","0.6684333407929586","0.9344456675604188","24","19","-17.92","-30.778"
"fanciful-sweep-18","finished","72","l6wrf4n4","65","0.8911567492846155","0.9276513143725824","0.7961197591735873","24","21","-18.2","-22.208"
"bright-sweep-59","finished","62","l6wrf4n4","13","0.7878922793949638","0.917564322838346","0.9418727255514956","20","22","-18.36","-16.818"
"logical-leaf-447","finished","73","l6wrf4n4","18","0.7606919765389131","0.6027062082778801","0.806715733376551","17","18","-19.62","-29.27"
"polished-sweep-80","finished","70","l6wrf4n4","24","0.8585005241624806","0.5686552367479001","0.7464415990825887","13","20","-21.56","-23.86"
"fresh-sweep-2","finished","82","l6wrf4n4","69","0.9114125814906352","0.835746384081994","0.7395830313421772","10","20","-22.22","-31.232"
"toasty-sweep-56","finished","71","l6wrf4n4","59","0.6464707636719577","0.8825124729543747","0.9679234543260684","20","19","-22.28","-25.39"
"happy-sweep-7","finished","69","l6wrf4n4","63","0.5275024916218336","0.5953215477233247","0.9633687677991865","16","22","-22.32","-17"
"iconic-sweep-44","finished","75","l6wrf4n4","54","0.9014289012010956","0.963156238946405","0.9627065185071616","21","11","-22.44","-28.944"
"breezy-sweep-92","finished","73","l6wrf4n4","25","0.8396345908149104","0.6631084497772883","0.927181314954602","14","23","-23.54","-25.864"
"floral-sweep-85","finished","65","l6wrf4n4","59","0.7066456397392842","0.9738093867293278","0.7617402434689097","15","14","-26.08","-18.108"
"skilled-sweep-97","finished","76","l6wrf4n4","51","0.9798638408138162","0.8680943266264705","0.8024566687725172","19","14","-26.1","-23.28"
"firm-sweep-14","finished","72","l6wrf4n4","74","0.6568055697606374","0.560472543178595","0.9648922499527384","14","22","-27.72","-18.218"
"hopeful-sweep-11","finished","72","l6wrf4n4","50","0.8741437148093829","0.9656019077616672","0.83565706370271","20","16","-28.42","-13.408"
"restful-sweep-60","finished","71","l6wrf4n4","93","0.6787136998486689","0.5975426261392592","0.7922449769422368","22","11","-29.72","-27.348"
"lyric-sweep-40","finished","74","l6wrf4n4","54","0.5789008990564175","0.6588483852058586","0.7980160395594142","23","13","-33.02","-25.186"
"zesty-sweep-28","finished","67","l6wrf4n4","47","0.9439706763291258","0.5409890004372999","0.8025116401849204","17","12","-34.58","-34.404"
"pleasant-galaxy-445","finished","64","l6wrf4n4","28","0.7973326151324999","0.9245289123425924","0.8709583905191405","25","14","-36.32","-29.904"
"absurd-sweep-10","finished","73","l6wrf4n4","11","0.8470231619619797","0.5217779735876309","0.8373187348920993","10","14","-37.4","-37.184"
"helpful-sweep-86","finished","69","l6wrf4n4","42","0.6533223894829769","0.8097718604330519","0.7720729511678481","14","20","-38.16","-35.18"
"playful-sweep-8","finished","68","l6wrf4n4","68","0.7745780786882337","0.6444309480461077","0.9294667009462192","18","18","-38.62","-16.044"
"exalted-sweep-27","finished","78","l6wrf4n4","74","0.8807522435788925","0.8380054456592462","0.9284163770182176","12","15","-39.12","-38.138"
"radiant-sweep-75","finished","63","l6wrf4n4","23","0.6454166799661226","0.526928912235756","0.8081057766421353","23","12","-39.8","-40.92"
"atomic-sweep-91","finished","76","l6wrf4n4","37","0.9746950148056877","0.9067352543424728","0.8229269967284852","12","17","-39.96","-40.074"
"misunderstood-sweep-35","finished","67","l6wrf4n4","82","0.8816357301875958","0.5308074568389195","0.7487499474080563","17","13","-41.34","-35.568"
"copper-sweep-45","finished","79","l6wrf4n4","96","0.9792743652295616","0.6016594325638807","0.8986670475661629","14","15","-41.86","-41.896"
"radiant-sweep-89","finished","75","l6wrf4n4","87","0.9455234794166224","0.7106360186251219","0.918777559802504","11","21","-43.9","-43.452"
"bumbling-sweep-77","finished","67","l6wrf4n4","36","0.9235427863308706","0.7388847397949652","0.9544569775983568","18","13","-44.6","-48.612"
"swept-sweep-93","finished","85","l6wrf4n4","80","0.9334896514377872","0.8604894330329296","0.8361078188804332","23","10","-47.44","-40.952"
"fallen-sweep-88","finished","78","l6wrf4n4","19","0.8705558587169288","0.875633747075717","0.8203637796293184","24","10","-49.28","-15.484"
"ethereal-sweep-90","finished","74","l6wrf4n4","77","0.5521221686253523","0.698915942166977","0.7685851397253651","21","12","-49.5","-84.068"
"olive-sweep-79","finished","65","l6wrf4n4","56","0.6664713035637294","0.7933501443963515","0.8723584133201975","25","17","-50.86","-47.074"
"avid-sweep-12","finished","79","l6wrf4n4","33","0.8956424234905269","0.7576485546392104","0.8961148731788733","13","12","-52.08","-47.394"
"robust-sweep-13","finished","77","l6wrf4n4","32","0.5785789412056906","0.7408683040525685","0.8185898502853551","10","22","-53.12","-80.338"
"balmy-sweep-32","finished","74","l6wrf4n4","61","0.7378806202295694","0.765051096396461","0.873089244913422","24","12","-56.84","-59.986"
"dandy-sweep-47","finished","72","l6wrf4n4","80","0.5663283221815133","0.9732738808038052","0.8098079511700454","16","12","-71.62","-68.682"
"worthy-sweep-94","finished","81","l6wrf4n4","23","0.6578245076173243","0.7871268957648885","0.7751740445042437","11","12","-74.54","-74.906"
"chocolate-sweep-33","finished","75","l6wrf4n4","89","0.635545076216691","0.7557952012878539","0.8309695088546961","22","11","-103.4","-103.216"
"stoic-vortex-459","finished","71","l6wrf4n4","14","0.6357496010141963","0.7948736798098498","0.843627428948342","10","11","-107.5","-62.552"
"snowy-sweep-54","finished","69","l6wrf4n4","41","0.7632382421933239","0.8391566595849203","0.840332899343882","18","19","-152.34","-55.776"
